Split,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_ROC_AUC,Aro_Accuracy,Aro_Precision,Aro_Recall,Aro_F1,Aro_ROC_AUC
10,0.5251649157097483,0.7422096317280453,0.2292714942025815,0.35032592344977437,0.5642899656351774,0.5195455655998046,0.5862068965517241,0.2521186440677966,0.35259259259259257,0.5300715109622883
20,0.6192302424325434,0.7034166960197252,0.5074968233799237,0.5896073221139652,0.6286741395568662,0.5530749212436652,0.626641651031895,0.27317339149400216,0.38048224795898994,0.5544231945083554
30,0.7245742852679269,0.7554721701063164,0.7112157786282014,0.7326762699014405,0.7254481023633682,0.6158412748008124,0.6944593867670791,0.4057196731615336,0.5121999603253323,0.6146336793890923
40,0.7429564581046469,0.7417333797424295,0.762705798138869,0.7520734074466208,0.742505593680213,0.5865349432857666,0.7699805068226121,0.28073916133617627,0.4114583333333333,0.595874859702779
50,0.7686534216335541,0.6993034055727554,0.8695861405197305,0.7752037752037753,0.7763509821685113,0.6121412803532009,0.8799231508165226,0.35949764521193095,0.5104485929228197,0.6482150183678222
60,0.8306364617044228,0.7475083056478405,0.8193736343772761,0.7817929117442669,0.8283163675098373,0.6550701186623517,0.8948096885813149,0.534297520661157,0.6690815006468306,0.7081425491504543
70,0.8693629205440229,0.6832460732984293,0.8093023255813954,0.7409510290986515,0.8483459045310421,0.7437365783822477,0.9510443864229765,0.6944709246901811,0.8027548209366391,0.7933561520002631
80,0.9193806727175654,0.6440217391304348,0.9221789883268483,0.7584,0.9205573159456024,0.7645488521089162,0.98753339269813,0.7220052083333334,0.8341481760060173,0.8402310908135511
90,0.9702675916749257,0.8636363636363636,0.9827586206896551,0.9193548387096774,0.975211645674169,0.8731417244796829,0.9845916795069337,0.8441215323645971,0.9089615931721194,0.9022194963410287
